Review,Rating,Cleaned_Review,VADER_Compound,VADER_Positive,VADER_Negative,VADER_Neutral
"I can't possibly fathom how anyone could enjoy this film or give it any kind of positive review. The actors and acting are terrible, the CGI looks like a five year old made it, and the story is just dull. This has to be one of (if not THE) worst films I have ever seen. There are zero redeeming factors that make this film even worth considering watching. Do not waste your time or money! Don't even wait for it to come to streaming. You'd honestly have a better time watching paint dry. Or you could spend some time watching the grass grow in your yard and you would enjoy it more than this movie. Seriously, just don't!",1/10,ca possibly fathom anyone could enjoy film give kind positive review actors acting terrible cgi looks like five year old made story dull one worst films ever seen zero redeeming factors make film even worth considering watching waste time money even wait come streaming honestly better time watching paint dry could spend time watching grass grow yard would enjoy movie seriously,0.8519,0.275,0.167,0.557
"A hollow uninspired remake.

Yet another live-action adaptation that strips away the magic of the original. The film feels soulless, bogged down by forced modern updates that add nothing meaningful to the story. Rachel Zegler's performance lacks the warmth and charm needed for the iconic role, and even Gal Gadot's Evil Queen, while visually striking, falls flat. The CGI is unremarkable, and the musical numbers are forgettable at best. Instead of a fresh take, we get a bland, watered-down version that fails to justify its existence. Disney needs to stop recycling classics and start telling new stories.",1/10,hollow uninspired remake yet another adaptation strips away magic original film feels soulless bogged forced modern updates add nothing meaningful story rachel zegler performance lacks warmth charm needed iconic role even gal gadot evil queen visually striking falls flat cgi unremarkable musical numbers forgettable best instead fresh take get bland version fails justify existence disney needs stop recycling classics start telling new stories,0.0356,0.177,0.175,0.647
"I am a diehard Snow White fan and I was SO nervous going into this movie. But I will tell you...I LOVED IT! Stays to the original story but adds some more story. I thought it was wonderful!

Put aside any feelings you having with the girl cast as Snow White, and give it a shot. I thought she was great, beautiful voice, and Gal killed it! The dwarves were so cute and I loved the detail to things that were true to the original.

I really loved how they gave a little of Snow White's backstory and I loved how they did more with some of the dwarfs. There are added characters, but again...it fit right in.",8/10,diehard snow white fan nervous going movie tell loved stays original story adds story thought wonderful put aside feelings girl cast snow white give shot thought great beautiful voice gal killed dwarves cute loved detail things true original really loved gave little snow white backstory loved dwarfs added characters fit right,0.9881,0.499,0.078,0.423
"Ouch! Now this was always going to be a difficult story to imaginatively reimagine, and I do wonder just who Disney thought this was for as it quite radically alters the timeless fairy tale and augments it with some remarkably unremarkable power ballads and set piece choreography that wouldn't have looked out of place at a barn dance. This iteration of the story pretty much abandons the fantasy elements of the original one and tells us of a wicked queen who has tricked her way onto the throne and turned the princess ""Snow White"" (Rachel Zegler) into something more akin to a royal ""Cinderella"". Luckily for her, she encounters the enthusiastic bandit ""Jonathan"" (Andrew Burnap) who has broken into the palace to pinch some spuds, and next thing they are both trying to stay one step ahead of the Queen (Gal Gadot) who is narked by her mirror telling her she's just plain ugly so she wants them deceased! It does swing by the brothers Grimm every now and again, and there are seven singing dwarves to ""work the whole day long"", but even they can't breathe much life into this surprisingly mundane exercise in superb technical creativity but otherwise lacklustre amateur stage theatricals. The unmistakably familiar score from Messrs. Pasek and Paul keeps threatening to break into ""You Will Be Found"" from ""Dear Evan Hansen"" and aside from, perhaps, ""Waiting on a Wish"" the soundtrack - like the whole thing - is disappointingly forgettable as it avoids every potential hint of menace progressing through a fondue of gloop towards it's conclusion. Thank heavens for ""Grumpy"" (Martin Kleppa) who is probably the only one on-screen in synch with those of us watching. If you do want to see it then cinema is definitely best. This will look and sound bland and forgettable on the telly, but will fit excellently with the other banal recent additions to Disney+.",6/10,ouch always going difficult story imaginatively reimagine wonder disney thought quite radically alters timeless fairy tale augments remarkably unremarkable power ballads set piece choreography would looked place barn dance iteration story pretty much abandons fantasy elements original one tells us wicked queen tricked way onto throne turned princess snow white rachel zegler something akin royal cinderella luckily encounters enthusiastic bandit jonathan andrew burnap broken palace pinch spuds next thing trying stay one step ahead queen gal gadot narked mirror telling plain ugly wants deceased swing brothers grimm every seven singing dwarves work whole day long even ca breathe much life surprisingly mundane exercise superb technical creativity otherwise lacklustre amateur stage theatricals unmistakably familiar score pasek paul keeps threatening break found dear evan hansen aside perhaps waiting wish soundtrack like whole thing disappointingly forgettable avoids every potential hint menace progressing fondue gloop towards conclusion thank heavens grumpy martin kleppa probably one synch us watching want see cinema definitely best look sound bland forgettable telly fit excellently banal recent additions,0.9652,0.224,0.126,0.649
,1/10,,0.0,0.0,0.0,0.0
"Disney's Snow White is a complete disaster. The acting is terrible, with Gal Gadot delivering one of the worst performances of her career. She simply cannot act. The film strays so far from the original story that it barely resembles the classic tale. Instead of a faithful adaptation, we get a soulless, misguided attempt at modernization. The visuals are uninspired, the writing is weak, and the CGI looks awful. Even Dragon Ball Evolution was better. The dialogue is cringe-worthy, the pacing is dreadful, and every creative decision is baffling. A total embarrassment. It is in fact the worst movie I have ever seen in my life.",1/10,disney snow white complete disaster acting terrible gal gadot delivering one worst performances career simply act film strays far original story barely resembles classic tale instead faithful adaptation get soulless misguided attempt modernization visuals uninspired writing weak cgi looks awful even dragon ball evolution better dialogue pacing dreadful every creative decision baffling total embarrassment fact worst movie ever seen life,-0.9524,0.128,0.315,0.557
,1/10,,0.0,0.0,0.0,0.0
Bad CGI and disjointed story line. A waste of money. This move is just bad. I had hopes Disney would have fixed some of it but no. And to end the move with a ditty style white party. How out of touch is Disney? Then the seven abominations ie dwarfs. Just wow I've seen better cgi for cheep vido games. So do not waste your time or money on this movie. Now to the star of the show... bold choice to go all in on your hate of a timeless Disney classic that you are now remaking. And you wonder why people are not going to see your dumpster fire of a movie. So Disney loves to make box offline bombs now. I hope they don't mess up Leo and Stitch.,1/10,bad cgi disjointed story line waste money move bad hopes disney would fixed end move ditty style white party touch disney seven abominations ie dwarfs wow seen better cgi cheep vido games waste time money movie star show bold choice go hate timeless disney classic remaking wonder people going see dumpster fire movie disney loves make box offline bombs hope mess leo stitch,-0.4939,0.228,0.283,0.489
"This is disappointing... Childhood stories are obliterated left and right. Stories changing over and over ... At this point quit doing ""live actions"" and just make completely new movies with these ideas. This does not even begin to address the hate filled star playing a timeless princess. Why would someone want their children to look up said 'star' and read the things she has said of and about to others. I feel Disney REALLY dropped the bomb on this one, sadly I believe more than they did on the little mermaid. Atleast Hallie wasn't hate filled and had a beautiful voice that aligned with Ariel.",1/10,disappointing childhood stories obliterated left right stories changing point quit live actions make completely new movies ideas even begin address hate filled star playing timeless princess would someone want children look said read things said others feel disney really dropped bomb one sadly believe little mermaid atleast hallie hate filled beautiful voice aligned ariel,-0.9322,0.097,0.278,0.625
"This movie was a complete waste of time. The acting was terrible. The dialogue felt forced, and the special effects were laughably bad. I wouldn't recommend it to anyone. The pacing was incredibly slow, making it hard to stay engaged. The characters had no depth, and their decisions made no sense. Overall, it felt like a low-effort production that should have never been made. Even the soundtrack was dull and forgettable. It felt like the filmmakers didn't care about delivering a quality experience. I kept hoping it would get better, but it never did. Save yourself the disappointment and watch something else.",1/10,movie complete waste time acting terrible dialogue felt forced special effects laughably bad would recommend anyone pacing incredibly slow making hard stay engaged characters depth decisions made sense overall felt like production never made even soundtrack dull forgettable felt like filmmakers care delivering quality experience kept hoping would get better never save disappointment watch something else,0.7438,0.314,0.228,0.458
"Worst movie ever. Story was incredibly changed , and her acting was awful throughout the movie . Gal gadot is the only reason to watch the movie . Still the movie is too cringy ...!

Snow White is supposed to be a kind, gentle, and lovable character, but Zegler's version comes across as arrogant and unlikable.

Her line delivery lacks emotion, and there's no real charm or innocence in her portrayal. In key emotional moments, she fails to bring depth.

One of the biggest issues with this film is how drastically it deviates from the source material. Instead of a tale about kindness, innocence, and overcoming adversity, this version turns Snow White into a self-proclaimed leader who has no interest in love, dwarfs, or even the core themes that made the original special.",1/10,worst movie ever story incredibly changed acting awful throughout movie gal gadot reason watch movie still movie cringy snow white supposed kind gentle lovable character zegler version comes across arrogant unlikable line delivery lacks emotion real charm innocence portrayal key emotional moments fails bring depth one biggest issues film drastically deviates source material instead tale kindness innocence overcoming adversity version turns snow white leader interest love dwarfs even core themes made original special,0.9504,0.327,0.151,0.523
,1/10,,0.0,0.0,0.0,0.0
"It's a shame Rachael Ziegler got bad press for interviews cause she's just magical in this and I think a lot of girls would really love this film.there were definitely still families at the showing I attended. She can really sing well and embodies Snow White in a very lovely way. Her hair is short because the evil queen cuts it like that out of jealousy. Speaking of the evil queen I thought Gal Gadot was great too and sang well in her number. It had the perfect touch of camp while still being evil. The entire score is really hummable - heigh ho and whistle while you work were great as well as the new waiting on a wish. It was a misstep to not include the gorgeous ""One Song"" from the original - it could have been worked in despite lack of a prince. There are just a lot of things I think were not that bad once I actually saw the film like the backgrounds and costumes. The one big mistake was in not using human actors for the dwarves. They could have changed the appearance as was done in the Tolkien films. The love interest who is an actor turned thief is fine as well. And Dopey was probably my favorite character.",8/10,shame rachael ziegler got bad press interviews cause magical think lot girls would really love definitely still families showing attended really sing well embodies snow white lovely way hair short evil queen cuts like jealousy speaking evil queen thought gal gadot great sang well number perfect touch camp still evil entire score really hummable heigh ho whistle work great well new waiting wish misstep include gorgeous one song original could worked despite lack prince lot things think bad actually saw film like backgrounds costumes one big mistake using human actors dwarves could changed appearance done tolkien films love interest actor turned thief fine well dopey probably favorite character,0.9767,0.36,0.194,0.445
"Okay, first off I need to ask, what the heck does this have an 1.6 on IMDb??????

Seriously the rotten tomatoes score is not even single digits, how the heck is is lower then disaster movie, okay, let's talk about the movie itself, I'll admit the writing is better then most Disney live action remakes, and it is told decently well, and the songs are pretty good too, however, there are a lot of problems, especially the cgi dwarfs, oh my god, they look ugly as hell, and the hi ho version in here sucks, now as the voice acting, it's not as bad as I thought here and they did put some effort here, but it's far from being considered great, for me recommendation, it's best to just wait till it comes out on Disney+, it's better to watch it on a smaller screen then a theater, hi ho, hi..... okay?",6/10,okay first need ask heck imdb seriously rotten tomatoes score even single digits heck lower disaster movie okay let talk movie admit writing better disney live action remakes told decently well songs pretty good however lot problems especially cgi dwarfs oh god look ugly hell hi ho version sucks voice acting bad thought put effort far considered great recommendation best wait till comes better watch smaller screen theater hi ho hi okay,0.25,0.288,0.252,0.46
"What's the point of making a live-action version of a very old animated film if it's going to change absolutely everything that made the original story good? I simply don't understand the decisions that were made. I didn't mind the small change in the cast or the random selection of actors and actresses for the casting. But you can't change the entire story: the beginning, the middle, and the end. You also can't change the personalities of the main characters, much less minimize the evilness of the villain just because she's a woman. The setting looks great; I don't know if it was filmed in a real location or if CGI was used, although the CGI of the Seven Dwarfs is unpleasant to look at, especially through a giant screen in a dark room. I don't recommend watching this film in theaters. If you have the opportunity to stream it, of course, do so if you want, but it's not a good film.",1/10,point making version old animated film going change absolutely everything made original story good simply understand decisions made mind small change cast random selection actors actresses casting ca change entire story beginning middle end also ca change personalities main characters much less minimize evilness villain woman setting looks great know filmed real location cgi used although cgi seven dwarfs unpleasant look especially giant screen dark room recommend watching film theaters opportunity stream course want good film,0.7786,0.2,0.108,0.692
There are simply stories that aren't meant for every actor. Trying to force someone into a role against all the requirements of the original German story is embarrassing and unworthy of the Brothers Grimm. One should simply steer clear of completed stories. One can always write a new one. There are simply stories that aren't meant for every actor. Trying to force someone into a role against all the requirements of the original German story is embarrassing and unworthy of the Brothers Grimm. One should simply steer clear of completed stories. One can always write a new one. There are simply stories that aren't meant for every actor. Trying to force someone into a role against all the requirements of the original German story is embarrassing and unworthy of the Brothers Grimm. One should simply steer clear of completed stories. One can always write a new one.,1/10,simply stories meant every actor trying force someone role requirements original german story embarrassing unworthy brothers grimm one simply steer clear completed stories one always write new one simply stories meant every actor trying force someone role requirements original german story embarrassing unworthy brothers grimm one simply steer clear completed stories one always write new one simply stories meant every actor trying force someone role requirements original german story embarrassing unworthy brothers grimm one simply steer clear completed stories one always write new one,-0.4767,0.142,0.162,0.696
"(No spoilers) I was hoping the movie was not going to be as bad as everyone was anticipating. I can safely say it was not as bad . . . . It was worse unfortunately. Why would you so drastically change the underlying message and feel of such a timeless classic.

To be fair Rachel actually has a great voice and can carry a tune but that about the only positive I can muster regarding this movie. Gal Gadot had an underwhelming performance and the Dwarves were actually scary looking and not lovable in any way shape or form.

It was easy to tell the story was disjointed due to a number or rewrites and adjustments to try to appease audiences but it still feel very short of pleasing.",1/10,spoilers hoping movie going bad everyone anticipating safely say bad worse unfortunately would drastically change underlying message feel timeless classic fair rachel actually great voice carry tune positive muster regarding movie gal gadot underwhelming performance dwarves actually scary looking lovable way shape form easy tell story disjointed due number rewrites adjustments try appease audiences still feel short pleasing,0.8934,0.331,0.201,0.468
"Disney's Snow White fails to live up to expectations both in storytelling and execution. From weak 2025 CGI and uninspired performances to a lack of emotional depth, the movie struggles to justify its existence. The casting controversy surrounding Rachel Zegler set a negative tone before release, and unfortunately, the film itself does little to redeem it. The dwarfs' CGI is unimpressive, the plot lacks cohesion, and the performances, despite a strong cast, feel flat. Ultimately, Snow White feels more like a forgettable low-budget streaming release rather than a major Disney film.

At the end of the day, this was just a boring cash grab.",1/10,disney snow white fails live expectations storytelling execution weak cgi uninspired performances lack emotional depth movie struggles justify existence casting controversy surrounding rachel zegler set negative tone release unfortunately film little redeem dwarfs cgi unimpressive plot lacks cohesion performances despite strong cast feel flat ultimately snow white feels like forgettable streaming release rather major disney film end day boring cash grab,-0.9578,0.052,0.307,0.64
,1/10,,0.0,0.0,0.0,0.0
"Every once in a while, a movie comes along that is so astoundingly awful, so fundamentally broken, that you wonder how anyone involved thought it was a good idea. Snow White (2024) isn't just bad-it's an unwatchable, soulless, insult to cinema. This isn't a movie; it's a dumpster fire set ablaze by Disney's own arrogance and creative bankruptcy.

A Character Assassination of Snow White The original Snow White was a timeless classic with a kind-hearted heroine. This version? A smug, bitter, self-righteous shell of a character who lacks any warmth or charm. Rachel Zegler's performance is as grating as her off-screen comments about how much she despises the original film. Instead of a fairy tale princess, we get a condescending know-it-all who sneers at the very idea of romance, heroism, or anything remotely resembling a compelling story arc.

The ""Dwarfs"" - Or Whatever They Are In what can only be described as one of the worst creative decisions in cinematic history, Disney removed the iconic Seven Dwarfs and replaced them with... a random group of people with no personality, no chemistry, and no reason to exist. They're so forgettable that calling them ""characters"" feels generous. It's like they grabbed a bunch of extras from a failed Netflix show and told them to stand around in the background.

A CGI Catastrophe Visually, Snow White (2024) is an absolute eyesore. The special effects look unfinished, the cinematography is flat and lifeless, and the color grading makes everything look like it was filmed through a dirty window. The original film from 1937-hand-drawn frame by frame-has more life, beauty, and artistry than this entire multimillion-dollar disaster.

Disney's Most Boring Movie Ever If this film had any redeeming qualities-funny moments, an emotional core, or even decent action-it might at least be watchable. But there's nothing. The script is atrocious, the pacing is a disaster, and the entire movie is so lifeless that it feels like a punishment to sit through. Every scene drags on with awkward dialogue and dull performances, making Snow White feel like a two-hour endurance test.

Final Verdict: A Career-Ending Disaster Snow White (2024) isn't just the worst Disney remake-it might be the worst thing the studio has ever produced. It's an insult to the original, a disaster of storytelling, and proof that modern Disney has lost every shred of creativity. Avoid this mess at all costs.

💀 0/10 - Not even worth watching ironically.",1/10,every movie comes along astoundingly awful fundamentally broken wonder anyone involved thought good idea snow white unwatchable soulless insult cinema movie dumpster fire set ablaze disney arrogance creative bankruptcy character assassination snow white original snow white timeless classic heroine version smug bitter shell character lacks warmth charm rachel zegler performance grating comments much despises original film instead fairy tale princess get condescending sneers idea romance heroism anything remotely resembling compelling story arc dwarfs whatever described one worst creative decisions cinematic history disney removed iconic seven dwarfs replaced random group people personality chemistry reason exist forgettable calling characters feels generous like grabbed bunch extras failed netflix show told stand around background cgi catastrophe visually snow white absolute eyesore special effects look unfinished cinematography flat lifeless color grading makes everything look like filmed dirty window original film frame life beauty artistry entire disaster disney boring movie ever film redeeming moments emotional core even decent might least watchable nothing script atrocious pacing disaster entire movie lifeless feels like punishment sit every scene drags awkward dialogue dull performances making snow white feel like endurance test final verdict disaster snow white worst disney might worst thing studio ever produced insult original disaster storytelling proof modern disney lost every shred creativity avoid mess costs even worth watching ironically,-0.975,0.219,0.283,0.498
"""Snow White and the seven dwarf"" is a master piece not only in Disney history, but also in the cinema industry. This move remake is an insult to the original and the cast is not, at all, up to the task. Watch the original if you want to see a wonderful movie, not this one.

Everything in here is just very wrong: songs, music and sound (and they were dealing with a very easy task there since the original was nominated for Best score at the Oscars in 1937), costume design, set design, cgi, plot, photography, acting.

Zegler face looks always disgusted by something or someone and I just think that is not the look someone that is impersonating Snow White should have on her face all the time or ever, actually. She does't have a once of kindness in her expressions. It's just not the right person to be act as sweet Snow White. Bad bad acting.",1/10,snow white seven dwarf master piece disney history also cinema industry move remake insult original cast task watch original want see wonderful movie one everything wrong songs music sound dealing easy task since original nominated best score oscars costume design set design cgi plot photography acting zegler face looks always disgusted something someone think look someone impersonating snow white face time ever actually kindness expressions right person act sweet snow white bad bad acting,0.7351,0.246,0.165,0.589
"I give you that, Rachel is annoying I can't really stand her but she can sing! But thats about it.

Movie has no soul, all the CGI looks really bad, feels like low production even tho they clamin to have spent 230 million on it, I don't really know where did they spend all that money to be honest.

Snow White's dress looks like it was bought from a OP shop down the road from party costume that no one wanted.

It's a remake that no one asked, why not just stick to the original story? Where are the colours on the movie? Disney movies are suposed to be bright and colourful.

When did Snow White turned into a Girl Boss... what wrong with true love and compassion from the original movie?

Don't waste your time and money with this one...",1/10,give rachel annoying ca really stand sing thats movie soul cgi looks really bad feels like low production even tho clamin spent million really know spend money honest snow white dress looks like bought op shop road party costume one wanted remake one asked stick original story colours movie disney movies suposed bright colourful snow white turned girl boss wrong true love compassion original movie waste time money one,0.9265,0.298,0.149,0.554
"This was actually an amazing version of Snow White, kept the essence of the original whilst not making snow a damsel in distress. Stop being so nostalgic people. It was great.

The dwarfs were CGI, I get it but it really wasn't that bad. Dopey was an absolutely wonderful character and the way Rachel Ziegler was able to interact with them must have been quite difficult.

They also explained why Snow White became Snow White without using the rhyme which worked.

Gal Cadot was also a great evil queen.

Overall the acting was great, the story was great and it took nothing away from the original whatsoever.",10/10,actually amazing version snow white kept essence original whilst making snow damsel distress stop nostalgic people great dwarfs cgi get really bad dopey absolutely wonderful character way rachel ziegler able interact must quite difficult also explained snow white became snow white without using rhyme worked gal cadot also great evil queen overall acting great story great took nothing away original whatsoever,0.9218,0.308,0.178,0.514
"There were many aspects of this movie that went above and below expectations. As someone who was ecstatic about this movie, it was a little underwhelming, but it did have its positives.

On one hand, the movie was overall entertaining. The ""Waiting on a Wish"" and ""A Hand Meets a Hand"" were catchy additions to the soundtrack, and the additions to the storyline fit well within Disney's intentions to modernize them and add to the classic. For example, expanding upon the love interests involvement in the story and making him less of a random guy that shows up to kiss her eventually was a good way to make his involvement in the film less random. Developing their relationship gave more meaning to her awakening. Visually, the CGI for the mines and the forest scene were pretty cool. I also liked how they made the dwarfs more interesting as creatures. That is about as far as the positives for the film extend.

There was a lot to unpack with the negative parts of the movie. The Evil Queen's performance felt forced, flat, and just overall hard to watch. Snow White's hair has its ups and downs, but ultimately looked like lord farquaad when it mattered. The CGI dwarfs were kind of spooky, but not that bad. I understand what people mean when they say that you could tell that everything was sets, but that shouldn't take away from the details in the sets such as with the outside and inside of the cottage. The chemistry between Snow White and Johnathan was a little awkward. No, I don't think Snow White's outfit was horrendous and hideous. I actually liked that they gave her ballet shoes, because who is actually running around a Forrest in heels and not losing them?

The biggest things to remember are that first of all, these movies aren't just for fans of the original, but also for children who just want to see real-life princesses, and that this was a reimagining more than a remake. If you watch the movie, keep your standards to a minimum. If you pick apart everything about the movie, of course you're not going to enjoy it. Just watch it for what it is: a princess movie to watch with your kids as they sing along with the songs that they now get to grow up with.",6/10,many aspects movie went expectations someone ecstatic movie little underwhelming positives one hand movie overall entertaining waiting wish hand meets hand catchy additions soundtrack additions storyline fit well within disney intentions modernize add classic example expanding upon love interests involvement story making less random guy shows kiss eventually good way make involvement film less random developing relationship gave meaning awakening visually cgi mines forest scene pretty cool also liked made dwarfs interesting creatures far positives film extend lot unpack negative parts movie evil queen performance felt forced flat overall hard watch snow white hair ups downs ultimately looked like lord farquaad mattered cgi dwarfs kind spooky bad understand people mean say could tell everything sets take away details sets outside inside cottage chemistry snow white johnathan little awkward think snow white outfit horrendous hideous actually liked gave ballet shoes actually running around forrest heels losing biggest things remember first movies fans original also children want see princesses reimagining remake watch movie keep standards minimum pick apart everything movie course going enjoy watch princess movie watch kids sing along songs get grow,0.991,0.288,0.098,0.614
"They tried to make a ""modern"" Snow White but this doesn't work well here, there's no problems in wanting to make ""modern"" stories, but create new ones, also it seemed like 2 movies were merged into one, Once Upon A Time with a low budget is millions ahead of this. The acting is not good, the cgi is horrible, the dwarfs where scary, the story didn't make sense... I couldn't see one positive thing about this, definitely the worse live action Disney has made, don't waste your money with it, unfortunately I had to go with my niece and it was horrible, I couldn't wait for it to finish, not even my niece liked it.",1/10,tried make modern snow white work well problems wanting make modern stories create new ones also seemed like movies merged one upon time low budget millions ahead acting good cgi horrible dwarfs scary story make sense could see one positive thing definitely worse live action disney made waste money unfortunately go niece horrible could wait finish even niece liked,-0.6808,0.217,0.271,0.512
"I watched this hoping for a fresh but respectful take on a beloved classic. What I got instead was a confusing, soulless shell of what Snow White once represented. The heartwarming story has been replaced with shallow dialogue, miscast actors, and visuals that feel like a rushed video game cutscene. Rachel Zegler's portrayal lacks depth and charm, and the CGI does no favors to the already hollow world they created. This film neither honors the original nor stands on its own. A disappointing, unnecessary remake that feels more like a corporate product than a fairy tale. Skip it and rewatch the animated gem.",1/10,watched hoping fresh respectful take beloved classic got instead confusing soulless shell snow white represented heartwarming story replaced shallow dialogue miscast actors visuals feel like rushed video game cutscene rachel zegler portrayal lacks depth charm cgi favors already hollow world created film neither honors original stands disappointing unnecessary remake feels like corporate product fairy tale skip rewatch animated gem,0.9375,0.324,0.121,0.556
"A passionless and empty excrescence shoved out with the intent of kindling nostalgia farming using writers and an actor who apparently hate the core of what made the original snow white so charming.

The traits of kindness and genuine gratitude through serving others are absent from this film, and it seems the protagonist doesn't have anything more compelling going for them. The controversy around Zegler's disdain for the original film comes through in the slant that the performance can't overshadow with it's middle of the road nature.

The set, visuals, and overall production quality also leave you wanting something that could feel like you were charmed, but I'd rather have the poisoned apple and have gotten some good sleep instead of this droll cinema we were presented with.",1/10,passionless empty excrescence shoved intent kindling nostalgia farming using writers actor apparently hate core made original snow white charming traits kindness genuine gratitude serving others absent film seems protagonist anything compelling going controversy around zegler disdain original film comes slant performance ca overshadow middle road nature set visuals overall production quality also leave wanting something could feel like charmed rather poisoned apple gotten good sleep instead droll cinema presented,0.8442,0.263,0.168,0.569
"When you want to do something so different... just create a new character.

Violating the existing ones is not art. The story, the main characters, the whole idea of the storytelling... altered to the core.

Refreshing is good... enhancing also... but changing it so intensively and forcefully to pass messages by any means necessary... no... is completely unnecessary.

It is disrespectful for the all generations. The ones who created this story, watched it, learned from it, enjoyed it, read it to their kids and grandkids.

Doesn't make sense. As I said in the beginning... just create a new character. Don't be lazy and create disappointments.",1/10,want something different create new character violating existing ones art story main characters whole idea storytelling altered core refreshing good enhancing also changing intensively forcefully pass messages means necessary completely unnecessary disrespectful generations ones created story watched learned enjoyed read kids grandkids make sense said beginning create new character lazy create disappointments,0.5859,0.237,0.135,0.629
"This remake is beyond disappointing - it is a complete travesty. Not only does it obliterate the heart and soul of the original, it shamelessly disrespects everything that made Snow White a timeless classic. The storytelling is flat, the visuals are uninspired, and the characters feel hollow and forced. It's painfully obvious that this was created with no real love or respect for the source material. Watching it felt like witnessing a cherished childhood dream being torn apart in slow motion. It is not just forgettable - it's offensively bad. This film is a cultural nightmare that never should have been greenlit. It's a slap in the face to fans who grew up with the magic of the original. Disney has truly lost its way. Avoid this at all costs - this movie doesn't just ruin memories, it leaves a bad taste that lingers.",1/10,remake beyond disappointing complete travesty obliterate heart soul original shamelessly disrespects everything made snow white timeless classic storytelling flat visuals uninspired characters feel hollow forced painfully obvious created real love respect source material watching felt like witnessing cherished childhood dream torn apart slow motion forgettable offensively bad film cultural nightmare never greenlit slap face fans grew magic original disney truly lost way avoid costs movie ruin memories leaves bad taste lingers,-0.9555,0.214,0.367,0.418
"This movie perfectly showcases how lousy Disney truly is becoming. Even in the trailer, it's clear that the film is plagued by poor line deliveries and uninspired performances, & that was only 2 minutes. Watching 2 hours of it was painful. The complete abandonment of the fairytale's story is incredibly disappointing, as now it is a misguided and soulless dumpster fire. Even the CGI for the dwarves was worse than I thought it was going to be. For a 270 million dollar budget you'd think Disney could have put together something that wasn't acid to the eyes. If you want a new story, make a new story-don't take a pre-loved classic and turn it into a hollow, lifeless mess. This is easily one of the worst things to come from the Disney studios.",1/10,movie perfectly showcases lousy disney truly becoming even trailer clear film plagued poor line deliveries uninspired performances minutes watching hours painful complete abandonment fairytale story incredibly disappointing misguided soulless dumpster fire even cgi dwarves worse thought going million dollar budget think disney could put together something acid eyes want new story make new take classic turn hollow lifeless mess easily one worst things come disney studios,-0.9493,0.142,0.318,0.54
"This is even worse than Disney's the Marvels. The lead actress was so bad. Gal Gadot was better suited to be Snow White. Disney must put an end to their string of ugly movies. The quality and storytelling was something you could get off youtube. It's not worth paying movie tickets for or a disney+ subscription for. Don't waste your money and time on this. Money that you lose you can earn back but time that you lose you can never earn back anymore. This was such a waste of time. Save your money, save your kids from disappointment don't watch this film. The acting was also bad. Gal gadot was the only brightspot in the film.",1/10,even worse disney marvels lead actress bad gal gadot better suited snow white disney must put end string ugly movies quality storytelling something could get youtube worth paying movie tickets subscription waste money time money lose earn back time lose never earn back anymore waste time save money save kids disappointment watch film acting also bad gal gadot brightspot film,-0.926,0.162,0.315,0.523
"I love Disney and have an open mind. I don't care about political controversy. My family and I just want to be entertained accordingly for our time and money. This movie fell short in every way. Do better, Disney. The wheel does not always need to be reinvented. Even my 9-year-old daughter was disappointed. The original Disney movies are generally fantastic and on point, including the original Snow White.

This remake was poorly executed. Nobody at Disney saw potential failure with this? Is everyone asleep over there? Save your money people, I wouldn't even pay to see it at home. It was that boring!",1/10,love disney open mind care political controversy family want entertained accordingly time money movie fell short every way better disney wheel always need reinvented even daughter disappointed original disney movies generally fantastic point including original snow white remake poorly executed nobody disney saw potential failure everyone asleep save money people would even pay see home boring,0.9393,0.326,0.128,0.546
"After all the hate out there for this movie, I wasn't really sure what to expect. I am glad I went to see it for myself to form my own opinions, and I encourage you to do the same. I loved the nostalgia of some of the original songs but equally enjoyed the new songs which help to modernize it. Snow White was able to fight for her kingdom and become the leader they deserved while still finding love in a way that didn't seemed forced. I'm excited to see it again. I didn't find the CGI offensive at all, and found the dwarves to be quite charming. If I had to pick a weak point, and I can't believe I'm going to say this, it is Gal's musical numbers. Her voice just isn't there, and she is what I was the most excited for. She's definitely the fairest in the land though!",9/10,hate movie really sure expect glad went see form opinions encourage loved nostalgia original songs equally enjoyed new songs help modernize snow white able fight kingdom become leader deserved still finding love way seemed forced excited see find cgi offensive found dwarves quite charming pick weak point ca believe going say gal musical numbers voice excited definitely fairest land though,0.9669,0.389,0.162,0.45
"We decided to take our kids to this as their first experience in a movie theater but we're a little skeptical prior to seeing it because of the awful reviews/feedback. We decided to go see it, regardless, and the kids enjoyed it!

After watching, I do not agree with the current 2.2/10 that is the rating. Was it the best movie I've ever watched? No. Was it the worst movie I've ever watched? Absolutely not. The ability to go in with an open mind and simply enjoy the content made the experience so much better. I think the classic components were captured well amidst the expanded plot. At the end of the day, it is a movie for kids and I think kids will enjoy it.",6/10,decided take kids first experience movie theater little skeptical prior seeing awful decided go see regardless kids enjoyed watching agree current rating best movie ever watched worst movie ever watched absolutely ability go open mind simply enjoy content made experience much better think classic components captured well amidst expanded plot end day movie kids think kids enjoy,0.9311,0.303,0.115,0.582
